date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,24,10,0.0,8.7,5,31,09:42 AM,09:35 PM,06:38 AM,05:23 PM,6,17,17,17,12,2,50,0.0,1015,24,10,67,6,"surguja,chhattisgarh"
2009-01-02,24,10,0.0,8.7,5,38,10:14 AM,10:27 PM,06:39 AM,05:24 PM,5,17,17,17,11,3,48,0.0,1017,24,10,161,6,"surguja,chhattisgarh"
2009-01-03,24,9,0.0,8.7,5,45,10:46 AM,11:21 PM,06:39 AM,05:25 PM,7,18,18,18,9,1,52,0.0,1017,24,10,133,5,"surguja,chhattisgarh"
2009-01-04,26,8,0.0,8.7,5,52,11:20 AM,No moonset,06:39 AM,05:25 PM,8,18,18,18,5,2,56,0.0,1015,26,10,196,3,"surguja,chhattisgarh"
2009-01-05,26,10,0.0,8.7,5,60,11:57 AM,12:17 AM,06:39 AM,05:26 PM,9,18,18,18,7,19,59,0.0,1013,26,10,191,4,"surguja,chhattisgarh"
2009-01-06,18,16,0.0,5.6,5,67,12:38 PM,01:18 AM,06:40 AM,05:27 PM,13,17,17,17,9,47,78,0.8,1014,18,10,117,5,"surguja,chhattisgarh"
2009-01-07,21,14,0.0,7.2,5,74,01:27 PM,02:22 AM,06:40 AM,05:27 PM,14,17,17,17,8,43,83,0.0,1017,21,9,117,4,"surguja,chhattisgarh"
2009-01-08,20,13,0.0,8.7,5,82,02:23 PM,03:30 AM,06:40 AM,05:28 PM,13,17,17,17,9,25,78,0.0,1019,20,8,100,5,"surguja,chhattisgarh"
2009-01-09,25,13,0.0,8.7,5,89,03:28 PM,04:38 AM,06:40 AM,05:29 PM,13,19,19,19,11,28,72,0.3,1019,25,9,95,6,"surguja,chhattisgarh"
2009-01-10,26,14,0.0,8.7,5,96,04:38 PM,05:44 AM,06:40 AM,05:30 PM,11,19,19,19,12,10,61,0.0,1019,26,10,95,6,"surguja,chhattisgarh"
2009-01-11,25,13,0.0,8.7,5,100,05:49 PM,06:43 AM,06:40 AM,05:30 PM,12,19,19,19,12,15,64,0.0,1018,25,10,236,7,"surguja,chhattisgarh"
2009-01-12,25,12,0.0,8.7,5,89,06:58 PM,07:35 AM,06:40 AM,05:31 PM,10,19,19,19,10,1,59,0.0,1020,25,10,63,6,"surguja,chhattisgarh"
2009-01-13,25,12,0.0,8.7,5,82,08:03 PM,08:20 AM,06:40 AM,05:32 PM,7,19,19,19,13,3,48,0.0,1021,25,10,118,7,"surguja,chhattisgarh"
2009-01-14,26,12,0.0,8.7,5,75,09:04 PM,09:00 AM,06:40 AM,05:32 PM,8,19,19,19,12,4,50,0.0,1021,26,10,151,7,"surguja,chhattisgarh"
2009-01-15,25,12,0.0,8.7,5,68,10:02 PM,09:36 AM,06:40 AM,05:33 PM,10,20,20,20,11,0,56,0.0,1020,25,10,146,6,"surguja,chhattisgarh"
2009-01-16,25,12,0.0,8.7,5,60,10:58 PM,10:10 AM,06:40 AM,05:34 PM,9,19,19,19,12,0,54,0.0,1020,25,10,184,7,"surguja,chhattisgarh"
2009-01-17,25,10,0.0,8.7,5,53,11:53 PM,10:44 AM,06:40 AM,05:35 PM,6,19,19,19,10,0,46,0.0,1018,25,10,183,6,"surguja,chhattisgarh"
2009-01-18,26,11,0.0,8.7,5,46,No moonrise,11:20 AM,06:40 AM,05:35 PM,8,19,19,19,12,0,51,0.0,1017,26,10,136,7,"surguja,chhattisgarh"
2009-01-19,27,12,0.0,8.7,5,38,12:48 AM,11:58 AM,06:40 AM,05:36 PM,9,20,20,20,12,0,53,0.0,1016,27,10,214,7,"surguja,chhattisgarh"
2009-01-20,26,12,0.0,8.7,5,31,01:43 AM,12:38 PM,06:40 AM,05:37 PM,9,19,19,19,14,7,56,0.0,1016,26,10,327,8,"surguja,chhattisgarh"
2009-01-21,25,10,0.0,8.7,5,24,02:37 AM,01:23 PM,06:40 AM,05:37 PM,4,17,17,17,12,7,46,0.0,1015,25,10,328,7,"surguja,chhattisgarh"
2009-01-22,27,9,0.0,8.7,5,17,03:31 AM,02:11 PM,06:40 AM,05:38 PM,1,18,17,18,12,2,35,0.0,1014,27,10,251,7,"surguja,chhattisgarh"
2009-01-23,28,10,0.0,8.7,5,9,04:22 AM,03:03 PM,06:40 AM,05:39 PM,4,20,20,20,12,0,36,0.0,1013,28,10,345,7,"surguja,chhattisgarh"
2009-01-24,30,11,0.0,8.7,5,2,05:10 AM,03:57 PM,06:39 AM,05:39 PM,4,21,21,21,9,0,35,0.0,1013,30,10,248,5,"surguja,chhattisgarh"
2009-01-25,30,11,0.0,7.2,6,0,05:54 AM,04:51 PM,06:39 AM,05:40 PM,5,21,21,21,9,24,40,0.0,1013,30,10,215,5,"surguja,chhattisgarh"
2009-01-26,31,13,0.0,8.7,6,0,06:34 AM,05:45 PM,06:39 AM,05:41 PM,7,23,23,23,9,1,37,0.0,1013,31,10,238,5,"surguja,chhattisgarh"
2009-01-27,30,14,0.0,8.7,6,5,07:10 AM,06:38 PM,06:39 AM,05:42 PM,7,23,23,23,12,1,38,0.0,1013,30,10,325,8,"surguja,chhattisgarh"
2009-01-28,29,14,0.0,8.7,6,12,07:45 AM,07:32 PM,06:38 AM,05:42 PM,6,22,21,22,15,0,39,0.0,1013,29,10,176,9,"surguja,chhattisgarh"
2009-01-29,28,13,0.0,8.7,5,20,08:17 AM,08:24 PM,06:38 AM,05:43 PM,5,20,20,20,14,4,39,0.0,1015,28,10,151,8,"surguja,chhattisgarh"
2009-01-30,29,12,0.0,8.7,5,27,08:49 AM,09:17 PM,06:38 AM,05:44 PM,4,20,20,20,13,10,37,0.0,1014,29,10,136,8,"surguja,chhattisgarh"
2009-01-31,28,13,0.0,8.7,5,31,09:22 AM,10:12 PM,06:37 AM,05:44 PM,7,21,21,21,14,1,41,0.0,1013,28,10,97,8,"surguja,chhattisgarh"
2009-02-01,27,12,0.0,8.7,5,43,09:57 AM,11:10 PM,06:37 AM,05:45 PM,5,20,20,20,14,0,39,0.0,1015,27,10,137,8,"surguja,chhattisgarh"
2009-02-02,27,11,0.0,8.7,5,50,10:35 AM,No moonset,06:37 AM,05:46 PM,2,20,19,20,14,0,34,0.0,1015,27,10,149,7,"surguja,chhattisgarh"
2009-02-03,28,11,0.0,8.7,5,58,11:20 AM,12:10 AM,06:36 AM,05:46 PM,2,20,20,20,13,0,33,0.0,1015,28,10,138,7,"surguja,chhattisgarh"
2009-02-04,28,11,0.0,8.7,5,66,12:10 PM,01:15 AM,06:36 AM,05:47 PM,2,20,20,20,15,0,32,0.0,1015,28,10,108,9,"surguja,chhattisgarh"
2009-02-05,30,12,0.0,8.7,5,73,01:09 PM,02:20 AM,06:35 AM,05:48 PM,5,21,21,21,10,5,38,0.0,1015,30,10,158,6,"surguja,chhattisgarh"
2009-02-06,30,14,0.0,8.7,6,81,02:15 PM,03:25 AM,06:35 AM,05:48 PM,7,23,22,23,12,2,39,0.0,1014,30,10,133,7,"surguja,chhattisgarh"
2009-02-07,30,15,0.0,8.7,6,88,03:24 PM,04:26 AM,06:34 AM,05:49 PM,5,23,22,23,14,0,33,0.0,1014,30,10,120,7,"surguja,chhattisgarh"
2009-02-08,30,13,0.0,8.7,5,96,04:33 PM,05:20 AM,06:34 AM,05:49 PM,6,22,22,22,12,0,37,0.0,1016,30,10,121,6,"surguja,chhattisgarh"
2009-02-09,29,13,0.0,8.7,5,100,05:41 PM,06:08 AM,06:33 AM,05:50 PM,5,21,21,21,13,0,39,0.0,1016,29,10,112,7,"surguja,chhattisgarh"
2009-02-10,30,12,0.0,8.7,5,89,06:44 PM,06:50 AM,06:33 AM,05:51 PM,5,22,22,22,9,0,36,0.0,1014,30,10,151,5,"surguja,chhattisgarh"
2009-02-11,29,14,0.0,8.7,6,82,07:45 PM,07:29 AM,06:32 AM,05:51 PM,7,23,23,23,15,10,39,0.0,1012,29,10,214,9,"surguja,chhattisgarh"
2009-02-12,27,13,0.0,8.7,5,74,08:43 PM,08:05 AM,06:31 AM,05:52 PM,4,20,20,20,14,0,39,0.0,1013,27,10,332,9,"surguja,chhattisgarh"
2009-02-13,28,10,0.0,8.7,5,67,09:40 PM,08:40 AM,06:31 AM,05:52 PM,6,20,20,20,10,0,46,0.0,1012,28,10,172,6,"surguja,chhattisgarh"
2009-02-14,29,11,0.0,8.7,5,59,10:36 PM,09:16 AM,06:30 AM,05:53 PM,5,21,21,21,13,0,39,0.0,1012,29,10,141,8,"surguja,chhattisgarh"
2009-02-15,30,12,0.0,8.7,5,51,11:33 PM,09:54 AM,06:29 AM,05:53 PM,5,21,21,21,14,0,37,0.0,1012,30,10,151,8,"surguja,chhattisgarh"
2009-02-16,31,13,0.0,8.7,6,44,No moonrise,10:34 AM,06:29 AM,05:54 PM,6,22,22,22,11,4,38,0.0,1014,31,10,123,6,"surguja,chhattisgarh"
2009-02-17,30,14,0.0,8.7,6,36,12:28 AM,11:18 AM,06:28 AM,05:55 PM,6,22,22,22,14,0,38,0.0,1015,30,10,147,8,"surguja,chhattisgarh"
2009-02-18,30,13,0.0,8.7,6,29,01:24 AM,12:05 PM,06:27 AM,05:55 PM,5,22,22,22,16,0,34,0.0,1013,30,10,106,10,"surguja,chhattisgarh"
2009-02-19,30,13,0.0,8.7,6,21,02:16 AM,12:56 PM,06:27 AM,05:56 PM,2,22,21,22,13,0,30,0.0,1012,30,10,181,8,"surguja,chhattisgarh"
2009-02-20,32,13,0.0,8.7,6,14,03:05 AM,01:49 PM,06:26 AM,05:56 PM,1,23,22,23,14,2,25,0.0,1015,32,10,137,8,"surguja,chhattisgarh"
2009-02-21,30,13,0.0,8.7,6,6,03:50 AM,02:43 PM,06:25 AM,05:57 PM,2,22,21,22,16,5,29,0.0,1014,30,10,301,10,"surguja,chhattisgarh"
2009-02-22,31,13,0.0,8.7,6,0,04:31 AM,03:38 PM,06:24 AM,05:57 PM,2,22,22,22,17,1,28,0.0,1011,31,10,294,10,"surguja,chhattisgarh"
2009-02-23,32,14,0.0,8.7,6,0,05:10 AM,04:31 PM,06:24 AM,05:58 PM,4,23,22,23,9,5,33,0.0,1010,32,10,202,6,"surguja,chhattisgarh"
2009-02-24,33,14,0.0,8.7,6,0,05:45 AM,05:25 PM,06:23 AM,05:58 PM,5,23,23,24,12,2,32,0.0,1008,33,10,189,7,"surguja,chhattisgarh"
2009-02-25,33,15,0.0,8.7,6,1,06:18 AM,06:18 PM,06:22 AM,05:59 PM,3,24,24,24,16,0,27,0.0,1009,33,10,280,10,"surguja,chhattisgarh"
2009-02-26,31,16,0.0,8.7,6,9,06:51 AM,07:12 PM,06:21 AM,05:59 PM,3,23,22,23,17,0,30,0.0,1010,31,10,262,10,"surguja,chhattisgarh"
2009-02-27,32,13,0.0,11.6,6,16,07:24 AM,08:07 PM,06:20 AM,06:00 PM,5,23,23,24,13,2,33,0.0,1011,32,10,184,8,"surguja,chhattisgarh"
2009-02-28,31,16,0.0,11.6,6,24,07:58 AM,09:05 PM,06:20 AM,06:00 PM,2,23,22,23,19,2,28,0.0,1011,31,10,296,12,"surguja,chhattisgarh"
2009-03-01,30,15,0.0,11.6,6,30,08:36 AM,10:05 PM,06:19 AM,06:00 PM,0,22,21,22,15,0,26,0.0,1011,30,10,333,9,"surguja,chhattisgarh"
2009-03-02,33,11,0.0,11.6,6,37,09:19 AM,11:07 PM,06:18 AM,06:01 PM,4,23,23,24,15,0,30,0.0,1011,33,10,243,9,"surguja,chhattisgarh"
2009-03-03,33,13,0.0,11.6,6,45,10:07 AM,No moonset,06:17 AM,06:01 PM,5,24,24,25,14,0,33,0.0,1010,33,10,180,9,"surguja,chhattisgarh"
2009-03-04,34,14,0.0,11.6,6,52,11:02 AM,12:11 AM,06:16 AM,06:02 PM,5,24,24,25,15,0,33,0.0,1009,34,10,205,10,"surguja,chhattisgarh"
2009-03-05,35,14,0.0,11.6,6,59,12:03 PM,01:15 AM,06:15 AM,06:02 PM,4,25,25,26,15,0,28,0.0,1008,35,10,326,9,"surguja,chhattisgarh"
2009-03-06,33,15,0.0,11.6,6,67,01:09 PM,02:15 AM,06:14 AM,06:03 PM,3,24,24,25,17,0,27,0.0,1010,33,10,290,10,"surguja,chhattisgarh"
2009-03-07,35,13,0.0,11.6,6,74,02:15 PM,03:10 AM,06:14 AM,06:03 PM,2,24,24,25,12,0,25,0.0,1011,35,10,165,7,"surguja,chhattisgarh"
2009-03-08,35,14,0.0,11.6,6,81,03:22 PM,03:59 AM,06:13 AM,06:03 PM,3,26,26,26,11,0,26,0.0,1010,35,10,166,6,"surguja,chhattisgarh"
2009-03-09,38,18,0.0,11.6,7,88,04:25 PM,04:43 AM,06:12 AM,06:04 PM,4,27,27,28,13,2,22,0.0,1012,38,10,116,7,"surguja,chhattisgarh"
2009-03-10,32,18,0.0,11.6,6,96,05:27 PM,05:22 AM,06:11 AM,06:04 PM,9,25,25,25,10,16,37,0.1,1014,32,10,172,6,"surguja,chhattisgarh"
2009-03-11,32,16,0.0,11.6,6,100,06:26 PM,05:59 AM,06:10 AM,06:05 PM,6,24,24,25,15,6,31,0.0,1013,32,10,283,9,"surguja,chhattisgarh"
2009-03-12,33,13,0.0,11.6,6,90,07:24 PM,06:35 AM,06:09 AM,06:05 PM,-4,22,21,22,15,4,21,0.0,1012,33,10,254,9,"surguja,chhattisgarh"
2009-03-13,34,13,0.0,11.6,6,83,08:21 PM,07:11 AM,06:08 AM,06:05 PM,-5,22,22,23,13,18,18,0.0,1015,34,10,117,7,"surguja,chhattisgarh"
2009-03-14,34,13,0.0,10.2,6,75,09:19 PM,07:48 AM,06:07 AM,06:06 PM,-3,23,23,23,12,40,19,0.0,1013,34,10,206,7,"surguja,chhattisgarh"
2009-03-15,32,17,0.0,10.2,6,68,10:16 PM,08:28 AM,06:06 AM,06:06 PM,3,24,24,24,15,41,28,0.0,1012,32,10,173,10,"surguja,chhattisgarh"
2009-03-16,33,18,0.0,11.6,6,61,11:13 PM,09:11 AM,06:05 AM,06:07 PM,6,25,25,25,11,8,31,0.0,1012,33,10,142,6,"surguja,chhattisgarh"
2009-03-17,33,15,0.0,10.2,6,53,No moonrise,09:58 AM,06:04 AM,06:07 PM,5,24,24,25,12,15,30,0.0,1011,33,10,210,7,"surguja,chhattisgarh"
2009-03-18,33,17,0.0,11.6,6,46,12:06 AM,10:47 AM,06:03 AM,06:07 PM,1,25,25,26,14,1,21,0.0,1010,33,10,286,9,"surguja,chhattisgarh"
2009-03-19,34,15,0.0,11.6,6,39,12:57 AM,11:40 AM,06:02 AM,06:08 PM,2,25,25,26,8,3,24,0.0,1010,34,10,222,5,"surguja,chhattisgarh"
2009-03-20,34,18,0.0,11.6,7,32,01:45 AM,12:33 PM,06:01 AM,06:08 PM,5,26,26,27,12,6,25,0.1,1009,34,10,161,8,"surguja,chhattisgarh"
2009-03-21,33,18,0.0,11.6,6,24,02:27 AM,01:28 PM,06:01 AM,06:09 PM,6,26,26,26,10,6,29,0.0,1009,33,10,184,6,"surguja,chhattisgarh"
2009-03-22,36,16,0.0,12.1,6,17,03:06 AM,02:21 PM,06:00 AM,06:09 PM,5,25,25,26,11,2,30,0.0,1010,36,10,161,6,"surguja,chhattisgarh"
2009-03-23,33,17,0.0,12.5,6,10,03:43 AM,03:15 PM,05:59 AM,06:09 PM,6,25,25,25,13,3,31,0.0,1012,33,10,194,7,"surguja,chhattisgarh"
2009-03-24,34,16,0.0,12.5,6,3,04:16 AM,04:08 PM,05:58 AM,06:10 PM,8,24,24,25,9,8,36,0.0,1012,34,10,168,5,"surguja,chhattisgarh"
2009-03-25,32,15,0.0,12.5,6,0,04:49 AM,05:03 PM,05:57 AM,06:10 PM,10,24,24,24,13,15,46,0.1,1011,32,10,158,8,"surguja,chhattisgarh"
2009-03-26,31,17,0.0,12.5,6,0,05:23 AM,05:58 PM,05:56 AM,06:10 PM,8,24,24,25,14,5,38,0.0,1009,31,10,220,8,"surguja,chhattisgarh"
2009-03-27,33,14,0.0,12.6,6,5,05:58 AM,06:56 PM,05:55 AM,06:11 PM,4,24,24,25,14,8,31,0.0,1010,33,10,181,9,"surguja,chhattisgarh"
2009-03-28,37,19,0.0,12.6,7,12,06:35 AM,07:56 PM,05:54 AM,06:11 PM,3,26,26,27,11,18,22,0.0,1010,37,10,153,6,"surguja,chhattisgarh"
2009-03-29,36,13,0.0,12.6,7,19,07:17 AM,08:59 PM,05:53 AM,06:11 PM,6,27,27,28,12,3,27,0.0,1008,36,10,183,7,"surguja,chhattisgarh"
2009-03-30,36,18,0.0,12.6,7,26,08:04 AM,10:04 PM,05:52 AM,06:12 PM,8,28,28,28,12,4,31,0.0,1008,36,10,164,7,"surguja,chhattisgarh"
2009-03-31,35,19,0.0,12.6,7,30,08:58 AM,11:09 PM,05:51 AM,06:12 PM,7,27,27,27,17,2,29,0.0,1007,35,10,222,11,"surguja,chhattisgarh"
2009-04-01,35,16,0.0,12.6,7,42,09:58 AM,No moonset,05:50 AM,06:13 PM,3,25,25,26,14,1,25,0.0,1009,35,10,248,9,"surguja,chhattisgarh"
2009-04-02,36,14,0.0,12.6,7,50,11:02 AM,12:10 AM,05:49 AM,06:13 PM,4,27,27,28,13,3,26,0.0,1009,36,10,184,8,"surguja,chhattisgarh"
2009-04-03,37,14,0.0,12.7,7,58,12:07 PM,01:06 AM,05:48 AM,06:13 PM,6,28,28,28,12,2,29,0.0,1009,37,10,259,8,"surguja,chhattisgarh"
2009-04-04,38,18,0.0,12.7,7,65,01:12 PM,01:56 AM,05:47 AM,06:14 PM,5,29,29,29,13,1,25,0.0,1008,38,10,247,9,"surguja,chhattisgarh"
2009-04-05,40,18,0.0,12.7,7,73,02:14 PM,02:39 AM,05:46 AM,06:14 PM,3,29,29,30,12,6,21,0.0,1009,40,10,223,7,"surguja,chhattisgarh"
2009-04-06,37,19,0.0,12.7,7,80,03:15 PM,03:19 AM,05:45 AM,06:14 PM,3,28,28,29,17,11,21,0.0,1009,37,10,327,11,"surguja,chhattisgarh"
2009-04-07,37,18,0.0,12.7,7,88,04:13 PM,03:56 AM,05:44 AM,06:15 PM,7,29,29,29,12,10,29,0.0,1008,37,10,305,8,"surguja,chhattisgarh"
2009-04-08,37,20,0.0,12.7,7,95,05:11 PM,04:31 AM,05:43 AM,06:15 PM,8,27,27,27,12,24,34,0.1,1009,37,10,87,8,"surguja,chhattisgarh"
2009-04-09,34,18,0.0,12.7,7,100,06:08 PM,05:07 AM,05:43 AM,06:16 PM,11,26,26,26,13,9,40,0.0,1009,34,10,156,8,"surguja,chhattisgarh"
2009-04-10,35,20,0.0,12.7,7,90,07:05 PM,05:44 AM,05:42 AM,06:16 PM,5,26,26,27,14,2,27,0.0,1009,35,10,305,9,"surguja,chhattisgarh"
2009-04-11,36,14,0.0,12.8,7,82,08:03 PM,06:22 AM,05:41 AM,06:16 PM,2,26,26,27,12,0,24,0.0,1008,36,10,257,8,"surguja,chhattisgarh"
2009-04-12,37,17,0.0,12.8,7,75,09:00 PM,07:04 AM,05:40 AM,06:17 PM,2,27,27,28,12,0,22,0.0,1008,37,10,185,8,"surguja,chhattisgarh"
2009-04-13,38,15,0.0,12.8,7,67,09:56 PM,07:50 AM,05:39 AM,06:17 PM,5,29,29,29,11,0,26,0.0,1005,38,10,185,7,"surguja,chhattisgarh"
2009-04-14,39,17,0.0,12.8,7,59,10:48 PM,08:39 AM,05:38 AM,06:17 PM,2,30,30,30,11,0,22,0.0,1005,39,10,158,7,"surguja,chhattisgarh"
2009-04-15,40,19,0.0,12.8,7,52,11:37 PM,09:31 AM,05:37 AM,06:18 PM,2,31,31,31,10,0,19,0.0,1005,40,10,194,6,"surguja,chhattisgarh"
2009-04-16,40,17,0.0,12.8,7,44,No moonrise,10:24 AM,05:36 AM,06:18 PM,3,30,30,30,12,0,22,0.0,1004,40,10,152,7,"surguja,chhattisgarh"
2009-04-17,39,18,0.0,12.8,7,37,12:21 AM,11:18 AM,05:35 AM,06:19 PM,7,30,30,31,13,12,28,0.0,1003,39,10,290,8,"surguja,chhattisgarh"
2009-04-18,38,22,0.0,12.8,7,29,01:02 AM,12:11 PM,05:35 AM,06:19 PM,-1,29,29,30,19,0,15,0.0,1005,38,10,309,12,"surguja,chhattisgarh"
2009-04-19,40,19,0.0,12.9,7,22,01:39 AM,01:04 PM,05:34 AM,06:19 PM,-6,29,29,30,18,0,10,0.0,1006,40,10,298,12,"surguja,chhattisgarh"
2009-04-20,40,20,0.0,12.9,7,14,02:13 AM,01:57 PM,05:33 AM,06:20 PM,-2,30,30,31,17,0,13,0.0,1003,40,10,302,12,"surguja,chhattisgarh"
2009-04-21,41,19,0.0,12.9,8,7,02:46 AM,02:50 PM,05:32 AM,06:20 PM,-2,31,31,32,17,0,13,0.0,1001,41,10,294,11,"surguja,chhattisgarh"
2009-04-22,40,23,0.0,12.9,8,0,03:19 AM,03:45 PM,05:31 AM,06:21 PM,-2,30,30,31,18,0,13,0.0,1004,40,10,309,12,"surguja,chhattisgarh"
2009-04-23,39,18,0.0,12.9,7,0,03:53 AM,04:41 PM,05:30 AM,06:21 PM,-7,28,28,29,15,0,12,0.0,1007,39,10,290,9,"surguja,chhattisgarh"
2009-04-24,38,16,0.0,12.9,7,0,04:30 AM,05:41 PM,05:30 AM,06:21 PM,-7,27,27,28,13,0,13,0.0,1008,38,10,254,8,"surguja,chhattisgarh"
2009-04-25,39,16,0.0,12.9,7,1,05:11 AM,06:44 PM,05:29 AM,06:22 PM,-2,29,29,30,13,0,16,0.0,1009,39,10,152,8,"surguja,chhattisgarh"
2009-04-26,41,17,0.0,12.9,7,8,05:57 AM,07:51 PM,05:28 AM,06:22 PM,1,31,31,31,10,1,19,0.0,1009,41,10,243,6,"surguja,chhattisgarh"
2009-04-27,39,13,0.0,13.0,7,16,06:49 AM,08:58 PM,05:27 AM,06:23 PM,-1,29,29,29,10,0,24,0.0,1007,39,10,277,7,"surguja,chhattisgarh"
2009-04-28,41,16,0.0,13.0,7,23,07:49 AM,10:02 PM,05:27 AM,06:23 PM,1,30,30,30,11,0,22,0.0,1006,41,10,318,7,"surguja,chhattisgarh"
2009-04-29,43,18,0.0,13.0,8,31,08:53 AM,11:01 PM,05:26 AM,06:24 PM,2,33,33,32,12,0,19,0.0,1005,43,10,244,8,"surguja,chhattisgarh"
2009-04-30,42,17,0.0,13.0,8,38,10:00 AM,11:53 PM,05:25 AM,06:24 PM,2,33,33,33,13,0,17,0.0,1004,42,10,189,9,"surguja,chhattisgarh"
2009-05-01,43,19,0.0,13.0,8,44,11:06 AM,No moonset,05:24 AM,06:25 PM,2,33,33,33,13,2,18,0.0,1004,43,10,203,8,"surguja,chhattisgarh"
2009-05-02,44,19,0.0,13.0,8,52,12:09 PM,12:39 AM,05:24 AM,06:25 PM,4,34,34,33,9,18,19,0.0,1005,44,10,177,5,"surguja,chhattisgarh"
2009-05-03,43,23,0.0,13.0,8,59,01:09 PM,01:20 AM,05:23 AM,06:25 PM,10,32,32,32,7,18,30,0.0,1006,43,10,193,4,"surguja,chhattisgarh"
2009-05-04,43,20,0.0,13.0,8,66,02:07 PM,01:57 AM,05:22 AM,06:26 PM,13,33,33,32,9,1,38,0.0,1005,43,10,209,5,"surguja,chhattisgarh"
2009-05-05,41,21,0.0,13.0,8,73,03:03 PM,02:31 AM,05:22 AM,06:26 PM,8,33,33,32,10,0,26,0.0,1005,41,10,194,6,"surguja,chhattisgarh"
2009-05-06,40,19,0.0,13.1,8,81,03:59 PM,03:06 AM,05:21 AM,06:27 PM,4,31,31,31,14,1,19,0.0,1006,40,10,313,9,"surguja,chhattisgarh"
2009-05-07,39,21,0.0,13.1,7,88,04:56 PM,03:42 AM,05:21 AM,06:27 PM,-0,29,29,30,16,5,17,0.0,1006,39,10,297,10,"surguja,chhattisgarh"
2009-05-08,40,16,0.0,13.1,7,95,05:53 PM,04:19 AM,05:20 AM,06:28 PM,4,31,31,32,12,1,20,0.0,1004,40,10,245,8,"surguja,chhattisgarh"
2009-05-09,41,19,0.0,13.1,7,100,06:49 PM,05:00 AM,05:19 AM,06:28 PM,4,32,32,31,11,1,22,0.0,1003,41,10,325,7,"surguja,chhattisgarh"
2009-05-10,41,20,0.0,13.1,7,100,07:46 PM,05:44 AM,05:19 AM,06:29 PM,4,31,31,31,9,20,22,0.0,1001,41,10,315,6,"surguja,chhattisgarh"
2009-05-11,39,19,0.0,13.1,8,83,08:40 PM,06:31 AM,05:18 AM,06:29 PM,8,30,30,31,14,4,25,0.0,1002,39,10,117,9,"surguja,chhattisgarh"
2009-05-12,38,22,0.0,13.1,8,76,09:30 PM,07:23 AM,05:18 AM,06:30 PM,15,32,32,32,15,2,41,0.0,1002,38,10,178,10,"surguja,chhattisgarh"
2009-05-13,37,21,0.0,13.1,7,68,10:16 PM,08:15 AM,05:17 AM,06:30 PM,15,30,30,30,13,4,45,0.0,1002,37,10,182,9,"surguja,chhattisgarh"
2009-05-14,39,21,0.0,13.1,8,61,10:58 PM,09:09 AM,05:17 AM,06:30 PM,12,33,33,33,11,1,31,0.0,1000,39,10,135,7,"surguja,chhattisgarh"
2009-05-15,40,23,0.0,13.2,8,54,11:36 PM,10:03 AM,05:16 AM,06:31 PM,15,33,33,32,9,2,40,0.0,1001,40,10,161,6,"surguja,chhattisgarh"
2009-05-16,40,22,0.0,13.2,7,47,No moonrise,10:55 AM,05:16 AM,06:31 PM,15,31,31,30,12,7,42,0.1,1003,40,10,177,8,"surguja,chhattisgarh"
2009-05-17,43,22,0.0,13.2,8,39,12:11 AM,11:48 AM,05:15 AM,06:32 PM,13,34,34,34,14,1,34,0.0,1003,43,10,142,9,"surguja,chhattisgarh"
2009-05-18,39,23,0.0,13.2,8,32,12:43 AM,12:39 PM,05:15 AM,06:32 PM,16,33,33,32,12,7,42,0.0,1003,39,10,163,8,"surguja,chhattisgarh"
2009-05-19,37,26,0.0,13.2,8,25,01:16 AM,01:32 PM,05:15 AM,06:33 PM,17,33,33,32,7,14,42,0.0,1003,37,10,77,4,"surguja,chhattisgarh"
2009-05-20,40,25,0.0,13.2,8,17,01:49 AM,02:26 PM,05:14 AM,06:33 PM,15,34,34,33,14,7,39,0.1,1002,40,10,131,9,"surguja,chhattisgarh"
2009-05-21,37,25,0.0,13.2,8,10,02:23 AM,03:24 PM,05:14 AM,06:34 PM,19,33,33,31,13,17,51,0.0,1002,37,10,153,9,"surguja,chhattisgarh"
2009-05-22,38,25,0.0,13.2,8,3,03:02 AM,04:25 PM,05:14 AM,06:34 PM,17,33,33,32,14,11,44,0.0,1002,38,10,166,9,"surguja,chhattisgarh"
2009-05-23,38,24,0.0,13.2,7,0,03:45 AM,05:31 PM,05:13 AM,06:35 PM,18,32,32,30,11,14,49,0.1,1001,38,10,131,8,"surguja,chhattisgarh"
2009-05-24,36,22,0.0,13.2,8,0,04:35 AM,06:38 PM,05:13 AM,06:35 PM,16,32,32,31,10,17,44,0.0,998,36,10,82,7,"surguja,chhattisgarh"
2009-05-25,32,21,0.0,13.2,7,4,05:33 AM,07:46 PM,05:13 AM,06:36 PM,18,28,28,27,15,12,62,0.0,997,32,10,25,12,"surguja,chhattisgarh"
2009-05-26,38,19,0.0,13.2,7,11,06:37 AM,08:49 PM,05:12 AM,06:36 PM,14,30,30,29,12,5,47,0.0,997,38,9,239,8,"surguja,chhattisgarh"
2009-05-27,42,19,0.0,13.3,8,19,07:46 AM,09:46 PM,05:12 AM,06:37 PM,7,33,33,33,16,0,28,0.0,1000,42,10,195,10,"surguja,chhattisgarh"
