date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,25,12,0.0,11.6,5,31,09:56 AM,10:05 PM,06:37 AM,06:10 PM,16,20,21,20,13,5,78,0.0,1013,25,8,87,8,"tiruchirapalli,tamil+nadu"
2009-01-02,26,16,0.0,11.6,6,38,10:34 AM,10:51 PM,06:37 AM,06:11 PM,17,21,21,21,15,34,80,0.0,1013,26,7,102,10,"tiruchirapalli,tamil+nadu"
2009-01-03,26,14,0.0,11.6,5,45,11:12 AM,11:39 PM,06:38 AM,06:11 PM,17,20,21,20,13,54,83,0.0,1014,26,6,66,9,"tiruchirapalli,tamil+nadu"
2009-01-04,26,14,0.0,11.6,5,52,11:52 AM,No moonset,06:38 AM,06:12 PM,16,20,21,20,15,15,76,0.0,1013,26,8,55,10,"tiruchirapalli,tamil+nadu"
2009-01-05,26,13,0.0,11.6,5,60,12:35 PM,12:29 AM,06:38 AM,06:12 PM,15,20,21,20,14,30,77,0.0,1012,26,8,89,9,"tiruchirapalli,tamil+nadu"
2009-01-06,27,13,0.0,11.6,5,67,01:23 PM,01:23 AM,06:39 AM,06:13 PM,15,21,21,21,10,5,72,0.0,1011,27,8,137,7,"tiruchirapalli,tamil+nadu"
2009-01-07,25,14,0.0,10.2,5,74,02:17 PM,02:21 AM,06:39 AM,06:13 PM,17,20,21,20,12,60,87,0.2,1013,25,6,94,9,"tiruchirapalli,tamil+nadu"
2009-01-08,25,18,0.0,11.6,6,82,03:17 PM,03:25 AM,06:39 AM,06:14 PM,19,21,22,21,15,47,86,1.5,1014,25,7,70,11,"tiruchirapalli,tamil+nadu"
2009-01-09,24,17,0.0,8.7,6,89,04:23 PM,04:31 AM,06:40 AM,06:14 PM,18,21,21,21,19,62,86,1.0,1015,24,8,44,13,"tiruchirapalli,tamil+nadu"
2009-01-10,26,16,0.0,10.2,6,96,05:31 PM,05:38 AM,06:40 AM,06:15 PM,17,21,22,21,19,37,79,0.0,1014,26,8,88,13,"tiruchirapalli,tamil+nadu"
2009-01-11,26,16,0.0,11.6,6,100,06:37 PM,06:40 AM,06:40 AM,06:15 PM,17,21,21,21,19,36,82,0.0,1014,26,8,58,13,"tiruchirapalli,tamil+nadu"
2009-01-12,26,16,0.0,11.6,6,89,07:40 PM,07:38 AM,06:41 AM,06:16 PM,17,21,21,21,19,32,79,0.0,1015,26,7,44,13,"tiruchirapalli,tamil+nadu"
2009-01-13,26,15,0.0,10.2,6,82,08:38 PM,08:29 AM,06:41 AM,06:16 PM,16,20,21,20,20,30,79,0.0,1016,26,9,44,14,"tiruchirapalli,tamil+nadu"
2009-01-14,25,17,0.0,11.6,6,75,09:33 PM,09:16 AM,06:41 AM,06:17 PM,16,20,21,20,21,38,78,0.0,1016,25,8,47,14,"tiruchirapalli,tamil+nadu"
2009-01-15,20,16,0.0,7.3,4,68,10:23 PM,09:58 AM,06:41 AM,06:17 PM,17,18,18,18,17,71,95,3.0,1016,20,6,88,11,"tiruchirapalli,tamil+nadu"
2009-01-16,25,15,0.0,11.6,6,60,11:13 PM,10:39 AM,06:41 AM,06:18 PM,17,20,21,20,19,48,82,0.0,1016,25,7,56,13,"tiruchirapalli,tamil+nadu"
2009-01-17,25,15,0.0,10.2,5,53,No moonrise,11:20 AM,06:42 AM,06:18 PM,17,20,21,20,16,51,83,0.0,1015,25,7,95,12,"tiruchirapalli,tamil+nadu"
2009-01-18,24,14,0.0,8.7,5,46,12:02 AM,12:01 PM,06:42 AM,06:19 PM,17,20,21,20,14,52,84,0.0,1014,24,8,64,10,"tiruchirapalli,tamil+nadu"
2009-01-19,26,16,0.0,10.2,6,38,12:51 AM,12:43 PM,06:42 AM,06:19 PM,17,21,21,21,16,52,80,0.0,1013,26,7,64,11,"tiruchirapalli,tamil+nadu"
2009-01-20,27,15,0.0,11.6,6,31,01:42 AM,01:29 PM,06:42 AM,06:20 PM,16,21,22,21,14,28,76,0.0,1013,27,7,87,9,"tiruchirapalli,tamil+nadu"
2009-01-21,27,16,0.0,11.6,6,24,02:32 AM,02:16 PM,06:42 AM,06:20 PM,15,21,22,21,13,25,71,0.0,1013,27,8,87,9,"tiruchirapalli,tamil+nadu"
2009-01-22,27,13,0.0,11.6,5,17,03:24 AM,03:06 PM,06:42 AM,06:21 PM,15,21,22,21,13,4,72,0.0,1012,27,9,60,9,"tiruchirapalli,tamil+nadu"
2009-01-23,27,14,0.0,11.6,6,9,04:15 AM,03:57 PM,06:42 AM,06:21 PM,14,21,22,21,15,7,67,0.0,1011,27,10,50,9,"tiruchirapalli,tamil+nadu"
2009-01-24,27,14,0.0,11.6,5,2,05:05 AM,04:48 PM,06:42 AM,06:22 PM,15,21,21,21,13,4,69,0.0,1011,27,9,62,8,"tiruchirapalli,tamil+nadu"
2009-01-25,28,13,0.0,11.6,6,0,05:52 AM,05:39 PM,06:43 AM,06:22 PM,16,23,23,23,12,7,69,0.0,1012,28,10,87,8,"tiruchirapalli,tamil+nadu"
2009-01-26,27,16,0.0,10.2,6,0,06:35 AM,06:28 PM,06:43 AM,06:22 PM,18,22,23,22,14,38,79,0.8,1012,27,7,77,10,"tiruchirapalli,tamil+nadu"
2009-01-27,21,18,0.0,10.2,5,5,07:17 AM,07:17 PM,06:43 AM,06:23 PM,19,20,21,20,9,52,92,1.0,1012,21,6,53,5,"tiruchirapalli,tamil+nadu"
2009-01-28,28,17,0.0,10.2,6,12,07:57 AM,08:03 PM,06:43 AM,06:23 PM,19,24,24,22,13,52,84,3.8,1012,28,6,99,8,"tiruchirapalli,tamil+nadu"
2009-01-29,29,16,0.0,11.6,6,20,08:35 AM,08:50 PM,06:43 AM,06:24 PM,18,24,24,23,14,11,75,0.0,1012,29,9,85,9,"tiruchirapalli,tamil+nadu"
2009-01-30,28,14,0.0,10.2,6,27,09:13 AM,09:37 PM,06:42 AM,06:24 PM,13,21,22,21,12,24,63,0.0,1012,28,9,87,8,"tiruchirapalli,tamil+nadu"
2009-01-31,28,14,0.0,11.6,6,31,09:52 AM,10:25 PM,06:42 AM,06:24 PM,14,22,22,22,14,2,63,0.0,1012,28,10,96,9,"tiruchirapalli,tamil+nadu"
2009-02-01,28,13,0.0,11.6,6,43,10:33 AM,11:17 PM,06:42 AM,06:25 PM,15,23,23,23,12,0,64,0.0,1013,28,10,94,8,"tiruchirapalli,tamil+nadu"
2009-02-02,29,14,0.0,11.6,6,50,11:18 AM,No moonset,06:42 AM,06:25 PM,15,23,24,23,14,2,65,0.0,1013,29,9,102,9,"tiruchirapalli,tamil+nadu"
2009-02-03,28,14,0.0,11.6,6,58,12:07 PM,12:12 AM,06:42 AM,06:25 PM,15,23,24,23,14,2,64,0.0,1014,28,10,109,9,"tiruchirapalli,tamil+nadu"
2009-02-04,29,14,0.0,11.6,6,66,01:03 PM,01:11 AM,06:42 AM,06:26 PM,15,22,23,22,14,7,63,0.0,1014,29,10,93,9,"tiruchirapalli,tamil+nadu"
2009-02-05,28,14,0.0,11.6,6,73,02:04 PM,02:14 AM,06:42 AM,06:26 PM,13,22,22,22,15,5,60,0.0,1014,28,10,76,10,"tiruchirapalli,tamil+nadu"
2009-02-06,28,14,0.0,11.6,6,81,03:09 PM,03:18 AM,06:42 AM,06:26 PM,13,23,23,23,17,3,59,0.0,1013,28,10,55,11,"tiruchirapalli,tamil+nadu"
2009-02-07,28,14,0.0,11.6,6,88,04:15 PM,04:21 AM,06:42 AM,06:27 PM,15,22,22,22,17,9,68,0.0,1013,28,10,67,11,"tiruchirapalli,tamil+nadu"
2009-02-08,28,15,0.0,11.6,6,96,05:19 PM,05:20 AM,06:41 AM,06:27 PM,15,22,23,22,17,8,67,0.0,1014,28,10,51,12,"tiruchirapalli,tamil+nadu"
2009-02-09,28,15,0.0,11.6,6,100,06:19 PM,06:14 AM,06:41 AM,06:27 PM,14,22,22,22,20,8,63,0.0,1014,28,8,44,14,"tiruchirapalli,tamil+nadu"
2009-02-10,28,13,0.0,11.6,6,89,07:16 PM,07:03 AM,06:41 AM,06:27 PM,12,22,22,22,14,1,58,0.0,1013,28,10,59,10,"tiruchirapalli,tamil+nadu"
2009-02-11,30,13,0.0,11.6,6,82,08:09 PM,07:48 AM,06:41 AM,06:28 PM,13,23,23,23,8,3,56,0.0,1012,30,10,133,6,"tiruchirapalli,tamil+nadu"
2009-02-12,29,16,0.0,11.6,6,74,09:01 PM,08:31 AM,06:40 AM,06:28 PM,15,24,24,24,10,8,62,0.0,1012,29,10,192,6,"tiruchirapalli,tamil+nadu"
2009-02-13,31,17,0.0,11.6,6,67,09:52 PM,09:13 AM,06:40 AM,06:28 PM,14,25,25,25,12,6,56,0.0,1011,31,10,170,7,"tiruchirapalli,tamil+nadu"
2009-02-14,30,15,0.0,11.6,6,59,10:42 PM,09:55 AM,06:40 AM,06:28 PM,13,24,24,24,12,3,54,0.0,1011,30,10,119,8,"tiruchirapalli,tamil+nadu"
2009-02-15,31,15,0.0,11.6,6,51,11:34 PM,10:38 AM,06:40 AM,06:28 PM,11,24,24,24,14,1,49,0.0,1010,31,10,150,9,"tiruchirapalli,tamil+nadu"
2009-02-16,30,13,0.0,11.6,6,44,No moonrise,11:23 AM,06:39 AM,06:29 PM,12,24,24,24,13,1,53,0.0,1011,30,10,101,9,"tiruchirapalli,tamil+nadu"
2009-02-17,29,14,0.0,11.6,6,36,12:25 AM,12:10 PM,06:39 AM,06:29 PM,14,23,23,23,16,4,64,0.0,1012,29,9,49,11,"tiruchirapalli,tamil+nadu"
2009-02-18,29,14,0.0,11.6,6,29,01:17 AM,12:59 PM,06:39 AM,06:29 PM,14,22,23,22,18,9,64,0.0,1011,29,9,50,13,"tiruchirapalli,tamil+nadu"
2009-02-19,30,15,0.0,11.6,6,21,02:09 AM,01:50 PM,06:38 AM,06:29 PM,13,24,24,23,18,2,57,0.0,1010,30,10,55,13,"tiruchirapalli,tamil+nadu"
2009-02-20,28,15,0.0,10.2,6,14,02:59 AM,02:41 PM,06:38 AM,06:29 PM,17,24,24,23,16,33,70,0.0,1011,28,9,107,12,"tiruchirapalli,tamil+nadu"
2009-02-21,28,17,0.0,8.8,6,6,03:47 AM,03:33 PM,06:38 AM,06:29 PM,18,24,24,23,15,39,75,0.2,1011,28,9,66,11,"tiruchirapalli,tamil+nadu"
2009-02-22,29,17,0.0,11.6,6,0,04:32 AM,04:22 PM,06:37 AM,06:30 PM,18,25,25,24,15,21,70,0.1,1009,29,9,78,10,"tiruchirapalli,tamil+nadu"
2009-02-23,30,17,0.0,11.6,6,0,05:15 AM,05:11 PM,06:37 AM,06:30 PM,17,26,26,25,14,16,67,0.0,1010,30,10,93,10,"tiruchirapalli,tamil+nadu"
2009-02-24,33,17,0.0,11.6,7,0,05:55 AM,05:59 PM,06:36 AM,06:30 PM,17,27,27,26,10,8,61,0.0,1011,33,10,122,7,"tiruchirapalli,tamil+nadu"
2009-02-25,34,21,0.0,11.6,7,1,06:34 AM,06:46 PM,06:36 AM,06:30 PM,16,28,28,27,15,10,57,0.0,1010,34,10,173,10,"tiruchirapalli,tamil+nadu"
2009-02-26,34,20,0.0,11.6,7,9,07:13 AM,07:34 PM,06:36 AM,06:30 PM,15,29,29,28,14,4,53,0.0,1009,34,10,150,9,"tiruchirapalli,tamil+nadu"
2009-02-27,34,19,0.0,11.6,7,16,07:52 AM,08:23 PM,06:35 AM,06:30 PM,14,28,28,28,16,1,51,0.0,1010,34,10,165,11,"tiruchirapalli,tamil+nadu"
2009-02-28,34,17,0.0,11.6,6,24,08:33 AM,09:14 PM,06:35 AM,06:30 PM,11,27,27,27,15,0,44,0.0,1010,34,10,158,9,"tiruchirapalli,tamil+nadu"
2009-03-01,34,17,0.0,11.6,7,30,09:17 AM,10:08 PM,06:34 AM,06:30 PM,10,27,27,27,16,0,39,0.0,1010,34,10,161,10,"tiruchirapalli,tamil+nadu"
2009-03-02,34,18,0.0,11.6,7,37,10:05 AM,11:05 PM,06:34 AM,06:30 PM,12,27,27,27,16,1,45,0.0,1010,34,10,179,10,"tiruchirapalli,tamil+nadu"
2009-03-03,33,17,0.0,11.6,6,45,10:58 AM,No moonset,06:33 AM,06:30 PM,12,27,27,27,11,2,45,0.0,1011,33,10,127,8,"tiruchirapalli,tamil+nadu"
2009-03-04,34,19,0.0,11.6,7,52,11:56 AM,12:06 AM,06:33 AM,06:30 PM,13,27,27,27,14,1,46,0.0,1010,34,10,168,9,"tiruchirapalli,tamil+nadu"
2009-03-05,34,20,0.0,11.6,7,59,12:57 PM,01:08 AM,06:32 AM,06:31 PM,14,28,28,28,13,2,51,0.0,1010,34,10,183,8,"tiruchirapalli,tamil+nadu"
2009-03-06,34,20,0.0,11.6,7,67,02:01 PM,02:09 AM,06:32 AM,06:31 PM,11,27,27,27,19,0,44,0.0,1010,34,10,171,12,"tiruchirapalli,tamil+nadu"
2009-03-07,34,18,0.0,11.6,7,74,03:03 PM,03:08 AM,06:31 AM,06:31 PM,10,27,27,27,17,0,40,0.0,1010,34,10,176,11,"tiruchirapalli,tamil+nadu"
2009-03-08,33,18,0.0,11.6,7,81,04:03 PM,04:02 AM,06:31 AM,06:31 PM,11,27,27,27,15,1,42,0.0,1010,33,10,134,10,"tiruchirapalli,tamil+nadu"
2009-03-09,23,18,0.0,6.0,5,88,05:01 PM,04:52 AM,06:30 AM,06:31 PM,17,21,22,21,10,73,81,12.6,1011,23,8,158,7,"tiruchirapalli,tamil+nadu"
2009-03-10,21,19,0.0,7.4,5,96,05:55 PM,05:38 AM,06:30 AM,06:31 PM,20,20,21,20,12,84,94,37.2,1011,21,7,220,8,"tiruchirapalli,tamil+nadu"
2009-03-11,21,20,0.0,6.0,5,100,06:47 PM,06:21 AM,06:29 AM,06:31 PM,21,21,23,21,6,88,97,17.6,1012,21,4,79,4,"tiruchirapalli,tamil+nadu"
2009-03-12,22,20,0.0,7.4,5,90,07:39 PM,07:04 AM,06:29 AM,06:31 PM,21,22,24,22,5,75,94,38.2,1012,22,7,157,3,"tiruchirapalli,tamil+nadu"
2009-03-13,27,19,0.0,11.6,6,83,08:30 PM,07:46 AM,06:28 AM,06:31 PM,20,25,25,24,11,27,79,5.2,1013,27,10,129,7,"tiruchirapalli,tamil+nadu"
2009-03-14,27,19,0.0,10.2,6,75,09:22 PM,08:29 AM,06:28 AM,06:31 PM,20,25,25,24,11,27,83,6.3,1012,27,8,120,7,"tiruchirapalli,tamil+nadu"
2009-03-15,28,18,0.0,11.6,6,68,10:14 PM,09:15 AM,06:27 AM,06:31 PM,19,25,25,24,8,21,77,5.4,1011,28,9,115,5,"tiruchirapalli,tamil+nadu"
2009-03-16,28,19,0.0,11.6,6,61,11:07 PM,10:02 AM,06:26 AM,06:31 PM,19,26,26,24,7,16,76,5.6,1010,28,8,108,5,"tiruchirapalli,tamil+nadu"
2009-03-17,29,18,0.0,11.6,6,53,12:00 AM,10:51 AM,06:26 AM,06:31 PM,17,26,26,25,11,4,65,0.0,1011,29,10,102,7,"tiruchirapalli,tamil+nadu"
2009-03-18,30,17,0.0,11.6,6,46,No moonrise,11:42 AM,06:25 AM,06:31 PM,16,27,27,25,10,3,59,0.0,1010,30,10,92,6,"tiruchirapalli,tamil+nadu"
2009-03-19,31,18,0.0,11.6,6,39,12:51 AM,12:33 PM,06:25 AM,06:31 PM,15,26,26,25,12,3,56,0.0,1010,31,10,114,7,"tiruchirapalli,tamil+nadu"
2009-03-20,31,19,0.0,11.6,6,32,01:40 AM,01:25 PM,06:24 AM,06:31 PM,17,28,28,26,12,2,59,0.0,1011,31,10,178,7,"tiruchirapalli,tamil+nadu"
2009-03-21,32,20,0.0,11.6,7,24,02:26 AM,02:14 PM,06:24 AM,06:31 PM,18,27,27,26,11,13,62,0.0,1010,32,10,195,7,"tiruchirapalli,tamil+nadu"
2009-03-22,31,21,0.0,11.6,7,17,03:09 AM,03:04 PM,06:23 AM,06:31 PM,18,27,27,26,8,21,64,0.8,1009,31,10,157,6,"tiruchirapalli,tamil+nadu"
2009-03-23,31,19,0.0,11.6,6,10,03:51 AM,03:52 PM,06:22 AM,06:31 PM,18,27,27,26,8,20,65,0.8,1011,31,10,135,6,"tiruchirapalli,tamil+nadu"
2009-03-24,29,19,0.0,11.6,6,3,04:30 AM,04:39 PM,06:22 AM,06:31 PM,18,27,27,25,9,18,67,1.6,1012,29,9,91,6,"tiruchirapalli,tamil+nadu"
2009-03-25,31,19,0.0,11.6,6,0,05:09 AM,05:27 PM,06:21 AM,06:31 PM,17,27,27,26,11,17,63,0.2,1011,31,10,121,7,"tiruchirapalli,tamil+nadu"
2009-03-26,32,20,0.0,11.6,7,0,05:49 AM,06:16 PM,06:21 AM,06:31 PM,18,28,28,26,9,27,64,0.3,1011,32,10,193,6,"tiruchirapalli,tamil+nadu"
2009-03-27,32,22,0.0,10.2,6,5,06:30 AM,07:07 PM,06:20 AM,06:31 PM,20,28,28,26,9,41,73,10.6,1011,32,9,205,6,"tiruchirapalli,tamil+nadu"
2009-03-28,32,21,0.0,11.6,7,12,07:14 AM,08:01 PM,06:20 AM,06:30 PM,19,28,28,26,11,25,67,3.5,1010,32,9,170,7,"tiruchirapalli,tamil+nadu"
2009-03-29,31,20,0.0,11.6,7,19,08:01 AM,08:59 PM,06:19 AM,06:30 PM,18,28,28,26,12,10,63,0.0,1010,31,9,108,8,"tiruchirapalli,tamil+nadu"
2009-03-30,32,20,0.0,11.6,7,26,08:54 AM,10:00 PM,06:18 AM,06:30 PM,18,28,28,27,11,10,61,0.0,1010,32,10,137,7,"tiruchirapalli,tamil+nadu"
2009-03-31,32,19,0.0,11.6,7,30,09:51 AM,11:02 PM,06:18 AM,06:30 PM,18,29,29,28,10,5,59,0.0,1008,32,10,145,7,"tiruchirapalli,tamil+nadu"
2009-04-01,33,20,0.0,11.6,7,42,10:52 AM,No moonset,06:17 AM,06:30 PM,16,29,29,28,13,4,54,0.0,1008,33,10,137,9,"tiruchirapalli,tamil+nadu"
2009-04-02,33,19,0.0,11.6,7,50,11:55 AM,12:04 AM,06:17 AM,06:30 PM,16,28,28,27,14,8,54,0.0,1009,33,10,128,9,"tiruchirapalli,tamil+nadu"
2009-04-03,33,18,0.0,11.6,7,58,12:56 PM,01:03 AM,06:16 AM,06:30 PM,15,28,28,27,12,4,49,0.0,1010,33,10,133,8,"tiruchirapalli,tamil+nadu"
2009-04-04,33,18,0.0,11.6,7,65,01:56 PM,01:57 AM,06:16 AM,06:30 PM,16,29,29,28,11,3,53,0.0,1010,33,10,125,8,"tiruchirapalli,tamil+nadu"
2009-04-05,33,20,0.0,11.6,7,73,02:52 PM,02:46 AM,06:15 AM,06:30 PM,18,29,29,27,11,18,62,0.0,1011,33,10,178,7,"tiruchirapalli,tamil+nadu"
2009-04-06,35,21,0.0,11.6,7,80,03:46 PM,03:33 AM,06:14 AM,06:30 PM,19,30,30,29,10,12,60,0.0,1009,35,10,205,7,"tiruchirapalli,tamil+nadu"
2009-04-07,35,22,0.0,11.6,7,88,04:37 PM,04:16 AM,06:14 AM,06:30 PM,18,30,30,29,9,10,59,0.2,1008,35,10,154,7,"tiruchirapalli,tamil+nadu"
2009-04-08,34,21,0.0,11.6,7,95,05:28 PM,04:58 AM,06:13 AM,06:30 PM,20,30,30,28,10,20,65,1.6,1008,34,10,200,8,"tiruchirapalli,tamil+nadu"
2009-04-09,33,21,0.0,11.6,7,100,06:19 PM,05:40 AM,06:13 AM,06:30 PM,19,29,29,27,8,37,66,0.6,1008,33,10,126,6,"tiruchirapalli,tamil+nadu"
2009-04-10,29,22,0.0,10.2,6,90,07:11 PM,06:22 AM,06:12 AM,06:30 PM,20,27,27,25,10,53,78,10.1,1009,29,9,118,7,"tiruchirapalli,tamil+nadu"
2009-04-11,28,20,0.0,11.6,6,82,08:03 PM,07:07 AM,06:12 AM,06:30 PM,19,26,26,25,9,28,71,0.4,1008,28,10,147,6,"tiruchirapalli,tamil+nadu"
2009-04-12,28,21,0.0,11.6,6,75,08:56 PM,07:53 AM,06:11 AM,06:30 PM,18,26,26,25,11,34,65,0.0,1008,28,10,171,7,"tiruchirapalli,tamil+nadu"
2009-04-13,34,22,0.0,11.6,7,67,09:50 PM,08:42 AM,06:11 AM,06:30 PM,19,29,29,27,14,35,65,1.6,1007,34,10,258,9,"tiruchirapalli,tamil+nadu"
2009-04-14,35,22,0.0,11.6,7,59,10:42 PM,09:33 AM,06:10 AM,06:30 PM,19,29,29,27,19,19,63,0.1,1006,35,10,282,13,"tiruchirapalli,tamil+nadu"
2009-04-15,35,23,0.0,11.6,7,52,11:32 PM,10:24 AM,06:10 AM,06:30 PM,20,30,30,28,15,31,66,2.0,1006,35,10,260,10,"tiruchirapalli,tamil+nadu"
2009-04-16,32,23,0.0,11.6,7,44,No moonrise,11:16 AM,06:09 AM,06:30 PM,21,30,30,27,15,21,71,2.4,1005,32,10,250,10,"tiruchirapalli,tamil+nadu"
2009-04-17,32,23,0.0,11.6,6,37,12:19 AM,12:06 PM,06:09 AM,06:30 PM,21,29,29,27,19,29,73,5.0,1005,32,10,249,12,"tiruchirapalli,tamil+nadu"
2009-04-18,34,22,0.0,11.6,7,29,01:03 AM,12:55 PM,06:08 AM,06:30 PM,20,30,30,28,14,20,66,0.1,1007,34,10,230,9,"tiruchirapalli,tamil+nadu"
2009-04-19,33,23,0.0,11.6,7,22,01:45 AM,01:43 PM,06:08 AM,06:30 PM,21,30,30,27,15,24,69,0.0,1010,33,10,240,11,"tiruchirapalli,tamil+nadu"
2009-04-20,32,23,0.0,11.6,7,14,02:24 AM,02:30 PM,06:07 AM,06:31 PM,21,29,29,27,16,24,73,5.6,1009,32,9,266,11,"tiruchirapalli,tamil+nadu"
2009-04-21,30,23,0.0,11.6,7,7,03:03 AM,03:17 PM,06:07 AM,06:31 PM,21,28,28,26,19,22,77,3.6,1008,30,10,265,13,"tiruchirapalli,tamil+nadu"
2009-04-22,31,23,0.0,11.6,6,0,03:43 AM,04:05 PM,06:06 AM,06:31 PM,21,28,28,26,19,28,75,5.5,1009,31,9,268,13,"tiruchirapalli,tamil+nadu"
2009-04-23,34,22,0.0,11.6,7,0,04:22 AM,04:56 PM,06:06 AM,06:31 PM,20,30,30,28,14,21,67,2.1,1009,34,10,272,9,"tiruchirapalli,tamil+nadu"
2009-04-24,35,23,0.0,11.6,7,0,05:06 AM,05:49 PM,06:05 AM,06:31 PM,20,30,30,28,13,13,66,2.4,1009,35,10,225,8,"tiruchirapalli,tamil+nadu"
2009-04-25,33,23,0.0,11.6,7,1,05:53 AM,06:47 PM,06:05 AM,06:31 PM,21,30,30,27,12,25,71,6.3,1009,33,10,253,7,"tiruchirapalli,tamil+nadu"
2009-04-26,33,22,0.0,11.6,7,8,06:44 AM,07:48 PM,06:05 AM,06:31 PM,20,29,29,27,11,21,68,4.1,1009,33,9,173,7,"tiruchirapalli,tamil+nadu"
2009-04-27,34,22,0.0,11.6,7,16,07:42 AM,08:52 PM,06:04 AM,06:31 PM,19,30,30,28,11,11,63,0.1,1009,34,10,201,8,"tiruchirapalli,tamil+nadu"
2009-04-28,35,22,0.0,11.6,7,23,08:43 AM,09:56 PM,06:04 AM,06:31 PM,20,30,30,28,11,16,63,0.4,1010,35,10,196,8,"tiruchirapalli,tamil+nadu"
2009-04-29,34,22,0.0,11.6,7,31,09:47 AM,10:57 PM,06:04 AM,06:31 PM,20,30,30,28,11,14,66,0.1,1010,34,10,272,8,"tiruchirapalli,tamil+nadu"
2009-04-30,35,23,0.0,11.6,7,38,10:50 AM,11:53 PM,06:03 AM,06:31 PM,20,30,30,28,14,31,67,2.4,1010,35,10,261,10,"tiruchirapalli,tamil+nadu"
2009-05-01,35,23,0.0,11.6,7,44,11:51 AM,No moonset,06:03 AM,06:31 PM,20,30,30,28,17,21,67,0.1,1010,35,10,269,12,"tiruchirapalli,tamil+nadu"
2009-05-02,38,23,0.0,11.6,7,52,12:48 PM,12:44 AM,06:02 AM,06:32 PM,20,32,32,30,12,8,59,0.0,1010,38,10,244,9,"tiruchirapalli,tamil+nadu"
2009-05-03,36,23,0.0,11.6,7,59,01:42 PM,01:31 AM,06:02 AM,06:32 PM,20,32,32,30,13,8,60,0.0,1009,36,10,267,10,"tiruchirapalli,tamil+nadu"
2009-05-04,35,24,0.0,11.6,7,66,02:33 PM,02:14 AM,06:02 AM,06:32 PM,21,31,31,29,15,15,65,0.4,1009,35,10,258,11,"tiruchirapalli,tamil+nadu"
2009-05-05,33,23,0.0,10.2,6,73,03:23 PM,02:56 AM,06:01 AM,06:32 PM,20,29,29,27,16,26,69,1.8,1009,33,10,212,11,"tiruchirapalli,tamil+nadu"
2009-05-06,33,23,0.0,11.6,7,81,04:13 PM,03:37 AM,06:01 AM,06:32 PM,21,29,29,27,15,37,71,6.1,1009,33,10,271,10,"tiruchirapalli,tamil+nadu"
2009-05-07,36,23,0.0,11.6,7,88,05:03 PM,04:18 AM,06:01 AM,06:32 PM,21,31,31,29,11,21,65,3.9,1007,36,10,210,7,"tiruchirapalli,tamil+nadu"
2009-05-08,35,23,0.0,11.6,7,95,05:55 PM,05:01 AM,06:01 AM,06:32 PM,21,31,31,29,12,19,66,1.6,1007,35,10,254,9,"tiruchirapalli,tamil+nadu"
2009-05-09,32,23,0.0,12.3,7,100,06:47 PM,05:47 AM,06:00 AM,06:33 PM,22,29,29,27,18,26,74,9.0,1007,32,9,274,12,"tiruchirapalli,tamil+nadu"
2009-05-10,32,23,0.0,12.3,7,100,07:41 PM,06:34 AM,06:00 AM,06:33 PM,21,29,29,26,18,31,77,10.7,1007,32,9,272,12,"tiruchirapalli,tamil+nadu"
2009-05-11,33,23,0.0,12.3,7,83,08:33 PM,07:25 AM,06:00 AM,06:33 PM,21,30,30,27,17,16,72,3.2,1006,33,10,275,12,"tiruchirapalli,tamil+nadu"
2009-05-12,34,23,0.0,12.3,7,76,09:25 PM,08:16 AM,06:00 AM,06:33 PM,22,30,30,27,19,21,75,3.4,1006,34,10,262,12,"tiruchirapalli,tamil+nadu"
2009-05-13,31,24,0.0,12.7,7,68,10:13 PM,09:08 AM,05:59 AM,06:33 PM,22,30,30,27,19,17,75,4.7,1006,31,10,265,13,"tiruchirapalli,tamil+nadu"
2009-05-14,33,23,0.0,12.7,7,61,10:58 PM,09:59 AM,05:59 AM,06:33 PM,20,29,29,27,21,19,70,2.4,1005,33,10,271,14,"tiruchirapalli,tamil+nadu"
2009-05-15,33,23,0.0,12.8,7,54,11:40 PM,10:48 AM,05:59 AM,06:34 PM,21,29,29,27,19,23,71,2.4,1006,33,10,273,13,"tiruchirapalli,tamil+nadu"
2009-05-16,31,23,0.0,12.8,6,47,No moonrise,11:36 AM,05:59 AM,06:34 PM,21,28,28,26,16,36,74,5.5,1007,31,9,282,11,"tiruchirapalli,tamil+nadu"
2009-05-17,29,22,0.0,12.8,7,39,12:20 AM,12:22 PM,05:59 AM,06:34 PM,21,28,28,26,15,23,77,0.1,1008,29,10,243,10,"tiruchirapalli,tamil+nadu"
2009-05-18,32,22,0.0,12.8,7,32,12:59 AM,01:09 PM,05:59 AM,06:34 PM,21,29,29,27,14,30,72,5.8,1007,32,10,278,9,"tiruchirapalli,tamil+nadu"
2009-05-19,30,22,0.0,12.8,7,25,01:37 AM,01:55 PM,05:58 AM,06:35 PM,21,28,28,26,15,44,78,6.6,1007,30,10,263,10,"tiruchirapalli,tamil+nadu"
2009-05-20,30,22,0.0,11.9,7,17,02:15 AM,02:43 PM,05:58 AM,06:35 PM,21,28,28,25,18,50,78,5.7,1006,30,10,274,12,"tiruchirapalli,tamil+nadu"
