date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2009-01-01,26,12,0.0,8.7,5,31,10:06 AM,09:59 PM,07:02 AM,05:46 PM,7,19,19,19,16,1,49,0.0,1016,26,10,40,9,"bhopal,madhya+pradesh"
2009-01-02,27,12,0.0,8.7,5,38,10:38 AM,10:51 PM,07:02 AM,05:47 PM,5,18,18,18,14,6,43,0.0,1016,27,10,91,8,"bhopal,madhya+pradesh"
2009-01-03,28,12,0.0,8.7,5,45,11:10 AM,11:46 PM,07:03 AM,05:48 PM,6,19,19,19,14,5,43,0.0,1016,28,10,156,8,"bhopal,madhya+pradesh"
2009-01-04,28,12,0.0,8.7,5,52,11:44 AM,No moonset,07:03 AM,05:48 PM,8,21,21,21,9,4,47,0.0,1014,28,10,230,5,"bhopal,madhya+pradesh"
2009-01-05,27,12,0.0,8.7,5,60,12:20 PM,12:42 AM,07:03 AM,05:49 PM,6,21,21,21,13,3,40,0.0,1012,27,10,159,7,"bhopal,madhya+pradesh"
2009-01-06,27,14,0.0,8.7,5,67,01:02 PM,01:42 AM,07:03 AM,05:50 PM,7,19,19,19,16,19,47,0.0,1012,27,10,114,8,"bhopal,madhya+pradesh"
2009-01-07,23,15,0.0,8.7,5,74,01:51 PM,02:46 AM,07:03 AM,05:50 PM,9,19,19,19,16,38,53,0.0,1015,23,10,87,10,"bhopal,madhya+pradesh"
2009-01-08,25,15,0.0,8.7,5,82,02:47 PM,03:54 AM,07:04 AM,05:51 PM,13,19,19,19,19,34,68,1.3,1018,25,10,52,13,"bhopal,madhya+pradesh"
2009-01-09,25,14,0.0,8.7,5,89,03:52 PM,05:03 AM,07:04 AM,05:52 PM,14,18,18,18,20,36,78,0.4,1019,25,10,48,13,"bhopal,madhya+pradesh"
2009-01-10,21,15,0.0,8.7,5,96,05:02 PM,06:08 AM,07:04 AM,05:52 PM,14,18,18,18,19,54,78,0.3,1018,21,9,69,12,"bhopal,madhya+pradesh"
2009-01-11,26,16,0.0,8.7,5,100,06:13 PM,07:08 AM,07:04 AM,05:53 PM,12,20,20,20,19,21,62,0.0,1018,26,10,65,12,"bhopal,madhya+pradesh"
2009-01-12,27,14,0.0,8.7,5,89,07:22 PM,07:59 AM,07:04 AM,05:54 PM,10,20,20,20,20,26,56,0.0,1019,27,10,68,10,"bhopal,madhya+pradesh"
2009-01-13,30,15,0.0,8.7,6,82,08:27 PM,08:44 AM,07:04 AM,05:54 PM,11,22,22,22,16,13,50,0.0,1020,30,10,106,8,"bhopal,madhya+pradesh"
2009-01-14,30,17,0.0,8.7,6,75,09:29 PM,09:24 AM,07:04 AM,05:55 PM,12,24,24,24,14,12,50,0.0,1020,30,10,109,8,"bhopal,madhya+pradesh"
2009-01-15,29,16,0.0,8.7,6,68,10:26 PM,10:00 AM,07:04 AM,05:56 PM,12,23,23,23,14,7,53,0.0,1019,29,10,81,8,"bhopal,madhya+pradesh"
2009-01-16,29,16,0.0,8.7,6,60,11:23 PM,10:34 AM,07:04 AM,05:57 PM,10,23,23,23,16,5,47,0.0,1019,29,10,97,9,"bhopal,madhya+pradesh"
2009-01-17,30,14,0.0,8.7,6,53,No moonrise,11:08 AM,07:04 AM,05:57 PM,8,23,23,23,10,5,41,0.0,1017,30,10,134,6,"bhopal,madhya+pradesh"
2009-01-18,30,15,0.0,8.7,6,46,12:17 AM,11:44 AM,07:04 AM,05:58 PM,8,23,23,23,12,2,39,0.0,1016,30,10,167,7,"bhopal,madhya+pradesh"
2009-01-19,30,14,0.0,8.7,6,38,01:12 AM,12:21 PM,07:04 AM,05:59 PM,8,23,23,23,13,2,39,0.0,1016,30,10,98,7,"bhopal,madhya+pradesh"
2009-01-20,28,15,0.0,7.1,6,31,02:07 AM,01:02 PM,07:04 AM,05:59 PM,10,21,21,21,16,30,50,0.0,1016,28,10,163,9,"bhopal,madhya+pradesh"
2009-01-21,25,14,0.0,11.0,5,24,03:02 AM,01:47 PM,07:04 AM,06:00 PM,6,19,19,19,15,13,43,0.0,1016,25,10,185,9,"bhopal,madhya+pradesh"
2009-01-22,27,13,0.0,8.5,4,17,03:55 AM,02:35 PM,07:03 AM,06:01 PM,2,19,19,19,14,46,34,0.0,1015,27,10,186,8,"bhopal,madhya+pradesh"
2009-01-23,30,11,0.0,11.0,5,9,04:46 AM,03:27 PM,07:03 AM,06:01 PM,2,21,21,21,15,5,30,0.0,1014,30,10,43,8,"bhopal,madhya+pradesh"
2009-01-24,31,14,0.0,5.5,5,2,05:35 AM,04:20 PM,07:03 AM,06:02 PM,3,21,21,21,13,60,30,0.0,1012,31,10,67,7,"bhopal,madhya+pradesh"
2009-01-25,33,16,0.0,11.0,6,0,06:18 AM,05:15 PM,07:03 AM,06:03 PM,4,24,24,24,12,37,28,0.0,1012,33,10,198,7,"bhopal,madhya+pradesh"
2009-01-26,32,17,0.0,11.0,6,0,06:58 AM,06:09 PM,07:03 AM,06:04 PM,6,24,24,24,17,0,32,0.0,1012,32,10,286,10,"bhopal,madhya+pradesh"
2009-01-27,30,16,0.0,11.0,6,5,07:35 AM,07:03 PM,07:02 AM,06:04 PM,3,23,22,23,18,0,29,0.0,1014,30,10,170,10,"bhopal,madhya+pradesh"
2009-01-28,30,13,0.0,11.0,6,12,08:08 AM,07:55 PM,07:02 AM,06:05 PM,3,23,22,23,14,0,28,0.0,1014,30,10,110,8,"bhopal,madhya+pradesh"
2009-01-29,30,14,0.0,8.6,6,20,08:40 AM,08:48 PM,07:02 AM,06:06 PM,5,22,21,22,12,30,34,0.0,1014,30,10,190,7,"bhopal,madhya+pradesh"
2009-01-30,32,14,0.0,11.1,6,27,09:13 AM,09:42 PM,07:01 AM,06:06 PM,5,23,23,24,12,4,30,0.0,1013,32,10,184,6,"bhopal,madhya+pradesh"
2009-01-31,30,16,0.0,11.1,6,31,09:45 AM,10:36 PM,07:01 AM,06:07 PM,6,22,22,22,18,1,37,0.0,1013,30,10,81,10,"bhopal,madhya+pradesh"
2009-02-01,29,13,0.0,11.1,6,43,10:20 AM,11:34 PM,07:01 AM,06:08 PM,5,22,21,22,17,0,37,0.0,1015,29,10,119,10,"bhopal,madhya+pradesh"
2009-02-02,30,14,0.0,11.1,6,50,10:59 AM,No moonset,07:00 AM,06:08 PM,3,23,22,23,13,0,29,0.0,1015,30,10,126,7,"bhopal,madhya+pradesh"
2009-02-03,31,13,0.0,11.1,6,58,11:43 AM,12:35 AM,07:00 AM,06:09 PM,4,24,23,24,10,0,29,0.0,1014,31,10,136,6,"bhopal,madhya+pradesh"
2009-02-04,32,14,0.0,11.5,6,66,12:34 PM,01:39 AM,06:59 AM,06:10 PM,3,23,22,23,14,0,28,0.0,1014,32,10,178,8,"bhopal,madhya+pradesh"
2009-02-05,30,15,0.0,11.5,6,73,01:33 PM,02:45 AM,06:59 AM,06:10 PM,4,24,23,24,13,0,29,0.0,1014,30,10,235,7,"bhopal,madhya+pradesh"
2009-02-06,30,14,0.0,11.5,6,81,02:38 PM,03:50 AM,06:58 AM,06:11 PM,4,24,23,24,16,0,29,0.0,1015,30,10,282,9,"bhopal,madhya+pradesh"
2009-02-07,30,14,0.0,11.5,6,88,03:48 PM,04:50 AM,06:58 AM,06:11 PM,2,23,22,23,17,0,26,0.0,1015,30,10,108,9,"bhopal,madhya+pradesh"
2009-02-08,32,13,0.0,11.6,6,96,04:57 PM,05:45 AM,06:57 AM,06:12 PM,7,24,23,24,13,0,38,0.0,1016,32,10,173,7,"bhopal,madhya+pradesh"
2009-02-09,32,15,0.0,11.6,6,100,06:04 PM,06:32 AM,06:57 AM,06:13 PM,6,23,23,24,12,1,33,0.0,1015,32,10,149,7,"bhopal,madhya+pradesh"
2009-02-10,32,15,0.0,11.6,6,89,07:08 PM,07:15 AM,06:56 AM,06:13 PM,2,23,23,23,14,5,27,0.0,1012,32,10,240,8,"bhopal,madhya+pradesh"
2009-02-11,27,14,0.0,11.6,5,82,08:09 PM,07:53 AM,06:56 AM,06:14 PM,2,21,20,21,18,2,31,0.0,1014,27,10,329,11,"bhopal,madhya+pradesh"
2009-02-12,27,12,0.0,11.6,5,74,09:07 PM,08:29 AM,06:55 AM,06:14 PM,5,20,20,20,14,1,39,0.0,1014,27,10,142,8,"bhopal,madhya+pradesh"
2009-02-13,30,13,0.0,11.6,6,67,10:04 PM,09:04 AM,06:54 AM,06:15 PM,4,22,21,22,11,8,33,0.0,1012,30,10,163,6,"bhopal,madhya+pradesh"
2009-02-14,31,15,0.0,11.6,6,59,11:01 PM,09:40 AM,06:54 AM,06:16 PM,3,23,23,24,16,0,26,0.0,1012,31,10,284,9,"bhopal,madhya+pradesh"
2009-02-15,31,14,0.0,11.6,6,51,11:57 PM,10:17 AM,06:53 AM,06:16 PM,4,24,24,25,14,1,28,0.0,1012,31,10,172,8,"bhopal,madhya+pradesh"
2009-02-16,31,16,0.0,11.6,6,44,No moonrise,10:58 AM,06:52 AM,06:17 PM,6,23,23,24,19,0,35,0.0,1014,31,10,115,11,"bhopal,madhya+pradesh"
2009-02-17,33,16,0.0,11.6,6,36,12:53 AM,11:42 AM,06:52 AM,06:17 PM,7,24,24,24,16,5,36,0.0,1014,33,10,121,9,"bhopal,madhya+pradesh"
2009-02-18,33,18,0.0,11.6,6,29,01:48 AM,12:28 PM,06:51 AM,06:18 PM,6,25,25,25,21,8,32,0.0,1013,33,10,123,12,"bhopal,madhya+pradesh"
2009-02-19,33,17,0.0,11.6,6,21,02:40 AM,01:20 PM,06:50 AM,06:18 PM,3,25,25,25,15,2,25,0.0,1012,33,10,123,9,"bhopal,madhya+pradesh"
2009-02-20,34,17,0.0,11.6,6,14,03:30 AM,02:12 PM,06:49 AM,06:19 PM,1,25,25,26,15,3,21,0.0,1014,34,10,50,9,"bhopal,madhya+pradesh"
2009-02-21,34,18,0.0,11.6,7,6,04:14 AM,03:07 PM,06:49 AM,06:19 PM,2,25,25,26,18,6,22,0.0,1014,34,10,144,10,"bhopal,madhya+pradesh"
2009-02-22,34,18,0.0,11.6,7,0,04:56 AM,04:01 PM,06:48 AM,06:20 PM,4,26,26,26,10,8,26,0.0,1010,34,10,182,6,"bhopal,madhya+pradesh"
2009-02-23,35,19,0.0,11.6,7,0,05:34 AM,04:55 PM,06:47 AM,06:20 PM,4,26,26,27,12,6,23,0.0,1009,35,10,240,8,"bhopal,madhya+pradesh"
2009-02-24,35,18,0.0,11.6,7,0,06:08 AM,05:49 PM,06:46 AM,06:21 PM,1,26,26,27,18,5,20,0.0,1009,35,10,293,11,"bhopal,madhya+pradesh"
2009-02-25,34,19,0.0,11.6,7,1,06:42 AM,06:42 PM,06:45 AM,06:21 PM,5,26,26,27,16,0,26,0.0,1010,34,10,241,10,"bhopal,madhya+pradesh"
2009-02-26,35,17,0.0,11.6,7,9,07:14 AM,07:37 PM,06:45 AM,06:22 PM,5,28,28,28,10,1,24,0.0,1010,35,10,248,7,"bhopal,madhya+pradesh"
2009-02-27,35,19,0.0,11.6,7,16,07:48 AM,08:31 PM,06:44 AM,06:22 PM,5,28,28,28,13,2,25,0.0,1011,35,10,142,8,"bhopal,madhya+pradesh"
2009-02-28,35,19,0.0,11.6,7,24,08:22 AM,09:29 PM,06:43 AM,06:23 PM,4,27,27,28,15,1,24,0.0,1011,35,10,117,9,"bhopal,madhya+pradesh"
2009-03-01,35,18,0.0,11.6,7,30,09:00 AM,10:29 PM,06:42 AM,06:23 PM,4,27,27,28,13,1,23,0.0,1011,35,10,169,8,"bhopal,madhya+pradesh"
2009-03-02,38,18,0.0,11.6,7,37,09:42 AM,11:32 PM,06:41 AM,06:24 PM,3,29,29,30,11,0,20,0.0,1010,38,10,211,7,"bhopal,madhya+pradesh"
2009-03-03,38,19,0.0,11.6,7,45,10:30 AM,No moonset,06:40 AM,06:24 PM,2,30,30,31,8,0,18,0.0,1009,38,10,185,5,"bhopal,madhya+pradesh"
2009-03-04,38,20,0.0,11.6,7,52,11:26 AM,12:36 AM,06:39 AM,06:25 PM,-1,29,29,30,16,0,14,0.0,1009,38,10,300,10,"bhopal,madhya+pradesh"
2009-03-05,36,21,0.0,11.6,7,59,12:27 PM,01:40 AM,06:39 AM,06:25 PM,2,28,28,29,17,0,20,0.0,1009,36,10,323,11,"bhopal,madhya+pradesh"
2009-03-06,36,17,0.0,11.6,7,67,01:33 PM,02:40 AM,06:38 AM,06:26 PM,-2,28,28,30,9,0,14,0.0,1010,36,10,205,6,"bhopal,madhya+pradesh"
2009-03-07,35,19,0.0,11.6,7,74,02:39 PM,03:35 AM,06:37 AM,06:26 PM,-1,26,26,28,15,0,16,0.0,1011,35,10,297,9,"bhopal,madhya+pradesh"
2009-03-08,36,17,0.0,11.6,7,81,03:46 PM,04:23 AM,06:36 AM,06:26 PM,0,27,27,28,14,1,17,0.0,1009,36,10,270,8,"bhopal,madhya+pradesh"
2009-03-09,37,21,0.0,11.6,7,88,04:49 PM,05:07 AM,06:35 AM,06:27 PM,2,29,29,30,8,4,17,0.0,1011,37,10,109,5,"bhopal,madhya+pradesh"
2009-03-10,34,21,0.0,11.6,7,96,05:51 PM,05:46 AM,06:34 AM,06:27 PM,4,27,27,28,14,5,22,0.0,1012,34,10,120,9,"bhopal,madhya+pradesh"
2009-03-11,36,20,0.0,11.6,7,100,06:50 PM,06:23 AM,06:33 AM,06:28 PM,2,28,28,29,16,1,20,0.0,1013,36,10,160,10,"bhopal,madhya+pradesh"
2009-03-12,36,18,0.0,10.2,7,90,07:48 PM,06:59 AM,06:32 AM,06:28 PM,-4,27,27,28,17,27,13,0.0,1012,36,10,118,10,"bhopal,madhya+pradesh"
2009-03-13,38,19,0.0,11.6,7,83,08:46 PM,07:35 AM,06:31 AM,06:29 PM,-4,29,29,30,13,1,11,0.0,1013,38,10,131,7,"bhopal,madhya+pradesh"
2009-03-14,34,20,0.0,11.6,7,75,09:44 PM,08:12 AM,06:30 AM,06:29 PM,-2,26,26,28,13,14,14,0.0,1013,34,10,124,8,"bhopal,madhya+pradesh"
2009-03-15,37,22,0.0,11.6,7,68,10:41 PM,08:52 AM,06:29 AM,06:29 PM,3,29,29,30,12,3,19,0.0,1011,37,10,210,7,"bhopal,madhya+pradesh"
2009-03-16,37,20,0.0,11.6,7,61,11:37 PM,09:35 AM,06:28 AM,06:30 PM,0,29,29,30,10,4,18,0.0,1010,37,10,213,7,"bhopal,madhya+pradesh"
2009-03-17,38,19,0.0,11.6,7,53,No moonrise,10:21 AM,06:27 AM,06:30 PM,-2,29,29,30,9,8,14,0.0,1010,38,10,91,5,"bhopal,madhya+pradesh"
2009-03-18,38,22,0.0,11.6,7,46,12:31 AM,11:11 AM,06:26 AM,06:30 PM,-0,29,29,31,11,4,14,0.0,1010,38,10,181,7,"bhopal,madhya+pradesh"
2009-03-19,37,23,0.0,11.6,7,39,01:22 AM,12:03 PM,06:25 AM,06:31 PM,1,29,29,30,13,5,16,0.0,1009,37,10,260,8,"bhopal,madhya+pradesh"
2009-03-20,37,22,0.0,11.6,7,32,02:09 AM,12:57 PM,06:24 AM,06:31 PM,1,30,30,31,14,5,16,0.0,1008,37,10,282,9,"bhopal,madhya+pradesh"
2009-03-21,34,22,0.0,11.6,7,24,02:51 AM,01:52 PM,06:23 AM,06:32 PM,3,28,28,29,13,1,20,0.0,1009,34,10,121,9,"bhopal,madhya+pradesh"
2009-03-22,36,19,0.0,11.6,7,17,03:31 AM,02:45 PM,06:22 AM,06:32 PM,3,29,29,30,11,1,19,0.0,1010,36,10,175,7,"bhopal,madhya+pradesh"
2009-03-23,36,21,0.0,11.6,7,10,04:06 AM,03:39 PM,06:21 AM,06:32 PM,-0,28,28,30,12,8,15,0.0,1011,36,10,117,7,"bhopal,madhya+pradesh"
2009-03-24,37,22,0.0,11.6,7,3,04:40 AM,04:32 PM,06:21 AM,06:33 PM,2,29,29,30,14,19,17,0.0,1010,37,10,193,9,"bhopal,madhya+pradesh"
2009-03-25,38,23,0.0,11.6,8,0,05:13 AM,05:27 PM,06:20 AM,06:33 PM,3,31,31,33,12,3,17,0.0,1009,38,10,284,8,"bhopal,madhya+pradesh"
2009-03-26,35,22,0.0,11.6,7,0,05:47 AM,06:22 PM,06:19 AM,06:34 PM,-1,28,28,29,17,1,16,0.0,1010,35,10,257,11,"bhopal,madhya+pradesh"
2009-03-27,36,20,0.0,11.6,7,5,06:21 AM,07:20 PM,06:18 AM,06:34 PM,-1,27,27,28,12,19,15,0.0,1009,36,10,172,7,"bhopal,madhya+pradesh"
2009-03-28,37,22,0.0,11.6,7,12,06:59 AM,08:20 PM,06:17 AM,06:34 PM,5,29,29,30,15,6,21,0.0,1009,37,10,200,9,"bhopal,madhya+pradesh"
2009-03-29,38,23,0.0,11.6,8,19,07:41 AM,09:24 PM,06:16 AM,06:35 PM,6,30,30,31,17,5,22,0.0,1008,38,10,267,11,"bhopal,madhya+pradesh"
2009-03-30,38,23,0.0,11.6,8,26,08:28 AM,10:29 PM,06:15 AM,06:35 PM,6,30,30,31,17,2,22,0.0,1008,38,10,209,12,"bhopal,madhya+pradesh"
2009-03-31,37,22,0.0,11.6,7,30,09:22 AM,11:34 PM,06:14 AM,06:35 PM,6,30,30,31,16,2,22,0.0,1008,37,10,169,11,"bhopal,madhya+pradesh"
2009-04-01,38,21,0.0,11.6,7,42,10:21 AM,No moonset,06:13 AM,06:36 PM,4,30,30,31,13,3,19,0.0,1009,38,10,185,8,"bhopal,madhya+pradesh"
2009-04-02,40,22,0.0,11.6,8,50,11:26 AM,12:34 AM,06:12 AM,06:36 PM,1,31,31,32,11,15,15,0.0,1009,40,10,142,7,"bhopal,madhya+pradesh"
2009-04-03,41,21,0.0,11.6,8,58,12:31 PM,01:31 AM,06:11 AM,06:37 PM,3,32,32,33,10,5,16,0.0,1009,41,10,63,6,"bhopal,madhya+pradesh"
2009-04-04,40,25,0.0,11.6,8,65,01:36 PM,02:20 AM,06:10 AM,06:37 PM,1,32,32,33,15,9,14,0.0,1009,40,10,225,9,"bhopal,madhya+pradesh"
2009-04-05,39,22,0.0,10.2,8,73,02:38 PM,03:04 AM,06:09 AM,06:37 PM,1,30,30,31,17,21,15,0.0,1010,39,10,256,12,"bhopal,madhya+pradesh"
2009-04-06,36,24,0.0,11.6,7,80,03:39 PM,03:43 AM,06:08 AM,06:38 PM,11,28,28,28,15,18,36,4.6,1010,36,10,252,11,"bhopal,madhya+pradesh"
2009-04-07,36,21,0.0,11.6,7,88,04:37 PM,04:20 AM,06:07 AM,06:38 PM,9,30,30,31,7,5,29,0.0,1007,36,10,221,5,"bhopal,madhya+pradesh"
2009-04-08,36,23,0.0,11.6,7,95,05:35 PM,04:55 AM,06:06 AM,06:38 PM,7,29,29,30,13,7,25,0.0,1006,36,10,228,9,"bhopal,madhya+pradesh"
2009-04-09,35,21,0.0,11.6,7,100,06:32 PM,05:31 AM,06:05 AM,06:39 PM,3,28,28,30,15,0,19,0.0,1009,35,10,326,11,"bhopal,madhya+pradesh"
2009-04-10,36,21,0.0,11.6,7,90,07:30 PM,06:07 AM,06:04 AM,06:39 PM,3,29,29,30,16,0,20,0.0,1010,36,10,143,11,"bhopal,madhya+pradesh"
2009-04-11,38,22,0.0,11.6,7,82,08:27 PM,06:46 AM,06:03 AM,06:40 PM,-0,29,29,31,16,0,14,0.0,1009,38,10,223,10,"bhopal,madhya+pradesh"
2009-04-12,40,21,0.0,11.6,8,75,09:25 PM,07:28 AM,06:03 AM,06:40 PM,-3,33,33,34,11,0,11,0.0,1007,40,10,116,7,"bhopal,madhya+pradesh"
2009-04-13,41,23,0.0,11.6,8,67,10:20 PM,08:13 AM,06:02 AM,06:40 PM,-3,33,33,34,12,0,10,0.0,1005,41,10,190,8,"bhopal,madhya+pradesh"
2009-04-14,42,23,0.0,11.6,8,59,11:13 PM,09:03 AM,06:01 AM,06:41 PM,-6,34,34,35,10,0,7,0.0,1004,42,10,286,6,"bhopal,madhya+pradesh"
2009-04-15,42,25,0.0,12.4,8,52,No moonrise,09:54 AM,06:00 AM,06:41 PM,2,35,35,36,14,0,12,0.0,1005,42,10,276,9,"bhopal,madhya+pradesh"
2009-04-16,40,27,0.0,12.8,8,44,12:01 AM,10:48 AM,05:59 AM,06:42 PM,3,33,33,35,16,5,14,0.0,1004,40,10,290,12,"bhopal,madhya+pradesh"
2009-04-17,41,26,0.0,12.8,8,37,12:46 AM,11:42 AM,05:58 AM,06:42 PM,4,34,34,35,10,3,15,0.0,1004,41,10,249,6,"bhopal,madhya+pradesh"
2009-04-18,41,25,0.0,12.9,8,29,01:26 AM,12:35 PM,05:57 AM,06:42 PM,-4,32,32,34,15,0,10,0.0,1006,41,10,177,10,"bhopal,madhya+pradesh"
2009-04-19,42,24,0.0,12.9,8,22,02:03 AM,01:28 PM,05:57 AM,06:43 PM,-6,34,34,35,14,0,7,0.0,1007,42,10,325,9,"bhopal,madhya+pradesh"
2009-04-20,44,26,0.0,12.9,9,14,02:37 AM,02:21 PM,05:56 AM,06:43 PM,-3,37,37,37,16,0,8,0.0,1004,44,10,295,9,"bhopal,madhya+pradesh"
2009-04-21,40,28,0.0,12.9,8,7,03:10 AM,03:14 PM,05:55 AM,06:44 PM,1,32,32,34,25,0,13,0.0,1003,40,10,277,17,"bhopal,madhya+pradesh"
2009-04-22,40,26,0.0,12.9,8,0,03:43 AM,04:09 PM,05:54 AM,06:44 PM,1,32,32,33,18,0,14,0.0,1005,40,10,307,12,"bhopal,madhya+pradesh"
2009-04-23,40,24,0.0,12.9,8,0,04:17 AM,05:06 PM,05:53 AM,06:45 PM,-9,32,32,33,16,0,7,0.0,1008,40,10,288,10,"bhopal,madhya+pradesh"
2009-04-24,42,23,0.0,12.9,8,0,04:53 AM,06:05 PM,05:53 AM,06:45 PM,-8,34,34,35,11,0,6,0.0,1008,42,10,227,6,"bhopal,madhya+pradesh"
2009-04-25,42,24,0.0,12.9,8,1,05:34 AM,07:09 PM,05:52 AM,06:45 PM,-2,34,34,35,13,7,10,0.0,1009,42,10,283,8,"bhopal,madhya+pradesh"
2009-04-26,42,26,0.0,13.0,8,8,06:20 AM,08:15 PM,05:51 AM,06:46 PM,-4,34,34,35,14,0,9,0.0,1009,42,10,110,9,"bhopal,madhya+pradesh"
2009-04-27,44,24,0.0,13.0,8,16,07:13 AM,09:22 PM,05:50 AM,06:46 PM,-10,35,35,36,12,0,6,0.0,1008,44,10,177,7,"bhopal,madhya+pradesh"
2009-04-28,45,26,0.0,13.0,9,23,08:13 AM,10:26 PM,05:50 AM,06:47 PM,-7,37,37,37,13,0,6,0.0,1006,45,10,311,8,"bhopal,madhya+pradesh"
2009-04-29,46,27,0.0,13.0,9,31,09:18 AM,11:26 PM,05:49 AM,06:47 PM,-4,38,38,38,14,0,7,0.0,1006,46,10,320,8,"bhopal,madhya+pradesh"
2009-04-30,47,28,0.0,13.0,9,38,10:24 AM,No moonset,05:48 AM,06:48 PM,-3,40,40,39,11,0,8,0.0,1005,47,10,326,6,"bhopal,madhya+pradesh"
2009-05-01,45,30,0.0,13.0,9,44,11:30 AM,12:17 AM,05:47 AM,06:48 PM,-1,38,38,38,20,1,9,0.0,1005,45,10,303,13,"bhopal,madhya+pradesh"
2009-05-02,43,31,0.0,13.0,9,52,12:33 PM,01:03 AM,05:47 AM,06:48 PM,0,36,36,37,21,2,11,0.0,1006,43,10,293,14,"bhopal,madhya+pradesh"
2009-05-03,43,27,0.0,13.0,9,59,01:33 PM,01:44 AM,05:46 AM,06:49 PM,0,36,36,37,15,0,11,0.0,1006,43,10,278,10,"bhopal,madhya+pradesh"
2009-05-04,42,27,0.0,13.0,8,66,02:31 PM,02:20 AM,05:45 AM,06:49 PM,3,35,35,36,16,0,14,0.0,1005,42,10,265,11,"bhopal,madhya+pradesh"
2009-05-05,42,28,0.0,13.1,8,73,03:28 PM,02:55 AM,05:45 AM,06:50 PM,4,35,35,36,19,0,15,0.0,1006,42,10,285,12,"bhopal,madhya+pradesh"
2009-05-06,42,29,0.0,13.1,8,81,04:23 PM,03:30 AM,05:44 AM,06:50 PM,3,35,35,36,18,0,14,0.0,1008,42,10,282,12,"bhopal,madhya+pradesh"
2009-05-07,43,28,0.0,13.1,8,88,05:20 PM,04:05 AM,05:44 AM,06:51 PM,2,35,35,36,13,0,13,0.0,1006,43,10,278,9,"bhopal,madhya+pradesh"
2009-05-08,42,28,0.0,13.1,8,95,06:17 PM,04:43 AM,05:43 AM,06:51 PM,2,35,35,36,16,0,12,0.0,1005,42,10,304,10,"bhopal,madhya+pradesh"
2009-05-09,44,28,0.0,13.1,9,100,07:14 PM,05:24 AM,05:42 AM,06:52 PM,1,37,37,37,18,0,11,0.0,1003,44,10,283,11,"bhopal,madhya+pradesh"
2009-05-10,43,29,0.0,13.1,9,100,08:10 PM,06:07 AM,05:42 AM,06:52 PM,1,35,35,36,20,0,12,0.0,1002,43,10,280,14,"bhopal,madhya+pradesh"
2009-05-11,42,29,0.0,13.1,9,83,09:04 PM,06:55 AM,05:41 AM,06:53 PM,6,35,35,36,22,1,17,0.0,1003,42,10,269,16,"bhopal,madhya+pradesh"
2009-05-12,43,29,0.0,13.1,9,76,09:55 PM,07:46 AM,05:41 AM,06:53 PM,10,37,37,37,17,1,22,0.0,1002,43,10,285,12,"bhopal,madhya+pradesh"
2009-05-13,44,33,0.0,13.1,9,68,10:40 PM,08:39 AM,05:40 AM,06:54 PM,10,38,38,38,17,3,19,0.0,1001,44,10,296,13,"bhopal,madhya+pradesh"
2009-05-14,43,32,0.0,13.1,9,61,11:22 PM,09:33 AM,05:40 AM,06:54 PM,11,37,37,37,19,3,20,0.1,999,43,10,266,13,"bhopal,madhya+pradesh"
2009-05-15,42,31,0.0,13.2,9,54,12:00 AM,10:26 AM,05:39 AM,06:55 PM,11,37,37,37,17,5,22,0.0,1000,42,10,269,13,"bhopal,madhya+pradesh"
2009-05-16,42,31,0.0,13.2,9,47,No moonrise,11:19 AM,05:39 AM,06:55 PM,12,38,38,38,19,2,23,0.0,1002,42,10,277,14,"bhopal,madhya+pradesh"
2009-05-17,42,31,0.0,13.2,9,39,12:34 AM,12:11 PM,05:38 AM,06:56 PM,13,38,38,38,15,3,24,0.0,1003,42,10,281,11,"bhopal,madhya+pradesh"
2009-05-18,43,33,0.0,13.2,9,32,01:08 AM,01:03 PM,05:38 AM,06:56 PM,10,39,39,39,16,2,19,0.0,1002,43,10,292,12,"bhopal,madhya+pradesh"
2009-05-19,43,33,0.0,13.2,9,25,01:40 AM,01:56 PM,05:38 AM,06:57 PM,10,38,38,38,15,3,19,0.0,1002,43,10,203,11,"bhopal,madhya+pradesh"
2009-05-20,41,33,0.0,13.2,9,17,02:12 AM,02:50 PM,05:37 AM,06:57 PM,13,37,37,36,19,3,25,0.0,1002,41,10,293,14,"bhopal,madhya+pradesh"
2009-05-21,44,30,0.0,13.2,9,10,02:47 AM,03:48 PM,05:37 AM,06:57 PM,10,39,39,38,14,2,20,0.0,1001,44,10,286,10,"bhopal,madhya+pradesh"
2009-05-22,46,31,0.0,13.2,9,3,03:26 AM,04:50 PM,05:37 AM,06:58 PM,6,39,39,39,16,6,14,0.0,999,46,10,305,11,"bhopal,madhya+pradesh"
2009-05-23,43,33,0.0,13.2,9,0,04:09 AM,05:55 PM,05:36 AM,06:58 PM,8,37,37,38,23,10,17,0.0,999,43,10,311,17,"bhopal,madhya+pradesh"
2009-05-24,42,31,0.0,13.2,9,0,04:59 AM,07:03 PM,05:36 AM,06:59 PM,9,36,36,37,12,7,19,0.0,998,42,10,304,9,"bhopal,madhya+pradesh"
